drugName,condition,review,rating,date,class
Lorazepam,anxiety,"""i have been on ativan for 15 years%u2026 started at 1mg and was gradually increased to 4mg. the medication only numbs things the anxiety never went away, and after i started taking i started getting other symptoms like ocd, social anxiety, depression and others 

i should never have trusted the dr and should have researched the drug before taking. i will never again just take anything without researching it. i am slowly tapering it off, the withdrawals are a nightmare but staying on this medication which should be banned is not an option. this medication was never intended to be prescribed longer then a few weeks. drs and drugstores are completely to blame right beside the drug companies. they all know it%u2019s poison.""",1,"December 29, 2015",-1
Nexplanon,birth control,"""i've been on the nexplanon for almost 2 years now. there has not been one month where i have gone a full week without having my period. these last two months i have had my period consistantly, cramping, weight gain, sharp pain at injection site, and increased amounts of ovarian cysts. i will never use this implant again and will be sticking to the pill.""",1,"May 3, 2015",-1
Nexplanon,birth control,"""so i've have the implant for around a year and a half now and i'm so over it. so far i've had horrible weight gain, at least a stone, with no lifestyle changes. i also now have constant mood swings and periods at least twice a month! i never had a period for almost 6 months when it first went in, now i feel i've hardly been off my period for a year. sometime it can last almost 6 weeks and gives me extremely bad migraines. however i will say it has done its job in that in not pregnant and i can't forget to take it but the cons definitely out weight the small benefits""",3,"January 6, 2016",-1
Chateal,birth control,"""i must say this birth control was a horrible experience.  i had taken chateal for about 11 months.  i experienced horrible mood swings and depression while taking this.  i didn't pin point that it was the pill until i finally switched birth controls and my moods swings have been far less than they have been the last 11 months.  i know everyone reacts differently to birth control and this one was not for me.  please be in tune with your body and how it reacts.""",1,"April 20, 2016",-1
Nucynta,pain,"""i tried at least 15 different medications for severe neuropathy and sciatica pain. no medications help with my pain nucynta has. i don't understand why is so hard to find, at least in my city.""",1,"July 25, 2015",-1
Gildess Fe 1 / 20,birth control,"""i've been on gildess for about 2 months, and i absolutely hate it. i'm always on my period, and never feel good. i always feel groggy, lethargic, and have constant cramps. i cry for no reason and my depression caused me to have therapy sessions. i switched from emoquette after a year because i gained 20 pounds, which is horrible. i always have a headache on gildess. i do not recommend for anyone. hopefully i can find the correct birth control.""",2,"July 29, 2015",-1
Celexa,depression,"""been taking it 4 days,i feel less sad but so thirsty n cant eat or sleep...not giving up yet because i havnt cried much and bdfore i cried everyday.n then was bitchy...thats been ok....we will see i will update at a later time....""",5,"November 3, 2013",0
Nucynta,pain,"""my experience with nucynta was very dis-appointing. did not relieve pain any more than a few ibuprofen. and it made me feel tired, sleepy. i have been on many pain medicines in the quest to find something that allows me to function. this one will be at the bottom of my list, mainly due to it's poor performance for me in easing the pain / combined with sleepy, tired and a little dizzy.""",1,"November 7, 2009",-1
Marlissa,birth control,"""something has changed in the formulation of this drug.  i developed a rash which looked like giant hives after starting a pack and into the 3rd day.  i thought it was unrelated but then it happened again when i started a second pack.  i have changed to another brand and had no problems.""",1,"September 16, 2017",-1
Ethinyl estradiol / norelgestromin,birth control,"""i have been on the patch for 2 months now, my periods are not normal. i go two weeks and they are heavy, somethings thats not normal at all. i have cramps from time to time, but since the patch i do not experience any period pains.""",2,"February 8, 2012",-1
Trintellix,depression,"""i'm taking 300 mg bupropion and still extremely depressed.  psychiatrist gave me a month of 5mg samples of brintellix to supplement the bupropion.  i have been taking it for 5 days now and have severe nausea & vomiting along with constipation. nausea & vomiting occurs 20 min. to 1/2 hour after taking so the drug isn't absorbed into my system to have an effect on my depression.  i am on other medications that i was taking at the same time as the brintellix.  i've decided to take the bintellix with food in the morning and all other meds at night due to the vomiting so that the other drugs can be effective.  i can deal with nausea & constipation, but the not vomiting. i will continue taking and hope the vomiting stops. fingers crossed.""",2,"February 5, 2016",-1
Minastrin 24 Fe,birth control,"""i would not recommend this pill whatsoever. i went on it and the only pro was a four day period, basically no period at all, just brown, also barely any cramps. but when it comes to cons the list is huge- i've stayed a steady weight my whole life after taking this pill my weight has sky rocketed, sever bipolar mood swings, acne all the time, and anxiety all the time. i was going to deal with it but after a year i decided i just can't do it anymore. i am just going to deal with my period by itself.""",1,"March 17, 2016",-1
Tri-Sprintec,acne,"""i've used tri-sprintec for about a year. i started it to have lighter periods & to help get rid of acne. it's worked really well for me & my periods last about 4 days & are very light & i've had one or two breakouts since. so why not a higher score? well like all women, my period was going to coincide with a beach vacation & i was not ok with that. i decided to skip a period & instead of using my week 4 pills, i skipped right from week 3 to week 1 on a new pack... worst. idea. ever. i still got my period & it's lasted for a month, not to mention i have a major acne breakout & no not just one or two. i'm hoping things will go back to normal soon & i warn everyone if this pill is working well for you, don't skip a period intentionally.""",6,"July 10, 2015",0
Implanon,birth control,"""taking it out in a few days! i've gained over 20 lbs with it in. i just eat and eat and don't get full. don't feel like having sex and just feel like blah. when everyone else has lost weight because of breastfeeding i've just been gaining. i'll go back to the nuvaring. even though i got pregnant while on it. (another story). i've been working out. guess i can do more but i've never weighed this much in my life.""",3,"February 28, 2017",-1
Estarylla,birth control,"""i was on estarylla for 1 day and it gave me chest heaviness to the point where i felt i couldn't breathe for several days. i was sent to the er and they said i was completely healthy. it made me very depressed but the worst part was feeling like i was literally suffocating but doctors telling me i was fine. anxiety was through the roof and every moment was just torment and crying. i do not suggest taking estarylla!!!""",1,"March 27, 2017",-1
Blisovi 24 Fe,birth control,"""i was on this birth control pill for 10-11 months. it caused me to have periods during week 2 of the pills, vaginal dryness!, a lot of hair loss & breakage, really bad embarrassing acne, weight gain, bloating, constant infections, pms symptoms, etc. i kept going to my obgyn thinking i had cancer or something was broken. she told me to keep taking them. no way. i quit taking them 2 weeks ago and i feel better already. i'm just afraid it might've done some fertility damage. time to find a new obgyn and stay off of birth control pills because the side effects aren't worth it! just will track my ovulation & avoid sex on those days. it's sad obgyns tell you to stay on pills with all these negative side effects, they don't truly care.""",1,"May 13, 2017",-1
Vilazodone,depression,"""my doctor did the genesight test and this was on the green list. ive been on prozac since i was  18 and it was on the yellow list. i've had bipolar disorder since i was 13. this medicine makes me feel like what i felt when i was on antipsychotics. i don't like this at all. maybe i need to give it a chance but i don't like this feeling at all!!!""",1,"December 16, 2016",-1
Etonogestrel,birth control,"""so i am nearing my 3 years on this birth control. i got it when i was 15 now i'm 18. for the first two years i was constantly bleeding. then i would have a few weeks off and then a month or so back onto bleeding and so on. i experienced bloating and weight gain that was explainable to me (i was not thinking about the birth control) because i have very high metabolism. i am a self conscious teenager and actually ended up stopping eating out of fear.  when i came on this birth control i wanted to prevent pregnancy and stop my period. only one of those was achieved. so, while it is a good birth control, i find the side effects too unbearable.""",2,"May 30, 2017",-1
Voltaren Gel,pain,"""i have rsi in the wrist. i have been doing the streching exercise shown to me by my physio therapist as well as using volt.  i get no relief using it at all. its just an expensive useless smelly cream in my experience.""",1,"June 26, 2016",-1
Kariva,birth control,"""i was prescribed this for birth control because i didn't like the weight i gained on yaz, but it was a mistake. for weeks i had horrible headaches to the point where i couldn't think, and then had terrible mood swings. effective as a contraceptive, because i didn't get pregnant, but i was confused as to why i didn't feel like myself at all. after i figured out that it was probably kariva, i stopped immediately.  i had no clue birth control pills could make me that crazy! after a month, i felt much better. not taking this ever again.""",2,"April 12, 2011",-1
Hydromorphone,pain,"""i just had a total abdominal hysterectomy done 3 days ago 11/15/16. dilaudid was awful for me. i was given it via iv along with anti neasea meds. every time i could feel a wave of warmth and then within mins was vomiting terribly. i told them 11 hours after surgery that i didn't want any more and to giver only tylenol. the vomiting stopped. i wouldn't recommend this at all""",4,"November 19, 2016",0
Isotretinoin,acne,"""we are disappointed.  my 14 year old son has taken 40 mg 1x/day for 18 days and his skin is worse than ever.  he seems more moody than normal and his lips are super chapped (i feel like the chapped-lip police with my chapstick in hand).  we really hoped for results of any kind with his cystic acne.  we are going to try a higher dose after he gets the blood test in a week or so. he is discouraged. the cost of the higher dosage is almost prohibitive.  our insurance doesn't cover meds because we have a high deductible but we feel that clearing up his acne is important for his self esteem.  it seems criminal to charge so much for meds.""",1,"April 6, 2015",-1
Etonogestrel,birth control,"""i got the rod put in feb of 2016.. sooo 14 months, and this thing has been bad ever since i got it. i got my period like a week after and was on it for two weeks. i usually only get my period for 3/4 days. but my periods stayed like that for a while , then they started lasting 3 weeks , and then i'd spot for the last week. and now i've had my period for a whole month .. i'm getting this out asap. i have changed from the person i used to be . always moody . kinda felt like i was a little depressed . but i did lose weight on it , but so not worth it and i wouldn't recommend""",2,"May 8, 2017",-1
Ethinyl estradiol / norethindrone,birth control,"""my experience with this birth control was horrible! it was the first one i've ever taken. my periods were every 3.5 weeks for four days, light, rarely ever cramped, and never really moody. i got on the birth control for birth control that's it. i told my doctor that and she prescribed this. my moods were insane! the slightest thing would set me off and i'd go through about 20 moods in 10min. my periods were no longer normal. i bled for two weeks every two weeks for the first 6 months. i called my doctor's office every couple weeks but they continued to tell me keep taking it. at about month 7 my period regulated then by month 9 i wasn't even having periods. the crazy moods never stopped and the cramps were horrible. i recently switched bc.""",3,"May 16, 2015",-1
Etonogestrel,birth control,"""i have only been on the implanon birth control for 8 months now but i am quite unhappy with it. i have decided to get it taken out next week for a few reasons. 

3 months after it being inserted i i had very heavy periods that lasted for 14-16 days at a time every 5 days with major clotting. my doctor put me on the pill as well as implanon because he thought it may help settle my hormones down. after a month of being on the pill the bleeding stopped and went back to normal. my skin has always been fairly clear, however, ever since implanon has taken effect i have found my skin has gotten worse and worse. lastly, i cannot sleep on my arm without it hurting and my arm hurts even when i don't touch it.""",2,"December 19, 2012",-1
Escitalopram,depression,"""for me personally, i hated lexpro.
it made me a shell of the person i used to be and like others have described, a walking zombie.
i couldn't connect with my emotions whatsoever. there are much better ssri's available!""",1,"May 22, 2016",-1
Ethinyl estradiol / norethindrone,birth control,"""i wish i had read about this pill before taking it. i was on minestrin for two years and loved it. cvs switched me to mibelas, and i experienced terrible headaches and extreme shortness of breathe to the point i thought i was going to choke to death. it took me awhile to figure out it was the mibelas, but when i did, i stopped taking it, and i never felt better. i had constant headaches for the 2 months i was taking it, and severe anxiety. i stopped going to class and literally thought i was losing my mind. it is not worth the price difference between minestrin and mibelas. this product should not even be sold.""",1,"November 23, 2017",-1
Sertraline,depression,"""gave one star to zoloft for its effort, but really it deserves zero stars from my experience. i was on remeron, then cipralex (lexapro for american users) for almost a year and when it stopped working i decided to go with zoloft after reading good reviews. zoloft slowly turned me into the worst version of myself. constant anger, irritation, nausea, no appetite, no motivation, and man the heart burn was unreal. and the list goes on and on. i took it for a week at 25mg and 3 weeks at 50mg to give it a shot but i had to stop because i was just falling apart. i am currently on effexor, its been almost a week and it is slowly putting me back together from the zoloft disaster.""",1,"March 14, 2017",-1
Citalopram,depression,"""after taking citalapram for 6 months now and previously years ago, i personally felt it hasn't worked at all with my depression. it has slightly helped my anxiety but my depression has got uncontrollably worse and i would get up to 40mg. i'm now on mirtazapine, only been on it for a few days but that's set my nerves off. as after reading the reviews a side effect is weight gain and i certainly don't want to gain anymore weight. """,2,"July 26, 2011",-1
Levonorgestrel,birth control,"""i was on the mirena for 4 months, and i received it after having my first child. at first, it was amazing. insertion did not hurt me what so ever. i did take medicine afterwards, but the day after i felt back to normal. now, a few months later, all the side effects are popping up. i felt alone, depressed, and suicidal. i felt like i was drowning. i have constant headaches, a weight gain of 20 pounds in four months. i thought this was all just due to my new postpartum life, but after reading others saying they gained weight i decided to get it out. sex is incredibly painful for me and feels like i'm being stabbed. periods lasting 2 weeks, then off 2 weeks, then again. this drug is terrible, although i really wish it had worked for me.""",1,"November 13, 2017",-1
Desvenlafaxine,depression,"""i'm one of those reviewers who found pristiq immediately helpful for 3 weeks. then side effects (jaw clenching, bruising) decreased, and so did benefits. i became depressed again. doctor doubled the dose.  benefits did not improve, but side effects were okay, too, until i decided 2x the ""normal"" effective dose with no improvement wasn't smart.  i'd taken the drug for 6 weeks, 100 mg for 1 wk.  i cut back to 50 mg and experienced the first rebound effect ever in 40 years of depression and nearly everything available to date. immediately and severely worsened mood, suicidal thoughts, weepiness. then i read. like paxil, this has a bad record of weaning and cessation effects. talk to your doctor carefully about the  /- of pristiq, and be careful.""",2,"November 16, 2009",-1
Mirena,birth control,"""i have only had the mirena for about 4 weeks and i just got my first period and i have been bleeding so heavily for about 3 days. i already decided that if this continues i will have it removed. i decided to get the mirena because it lightens your period and can totally eliminate it, well that is not happening to me. i know it has only been a month but this is terrible. i have not had any other problems just heavy bleeding.""",3,"October 27, 2009",-1
Escitalopram,depression,"""i developed terrible heart palpitations on lexapro and had to stop using it. unfortunately the heart palpitations are still occurring even though i have been off the drug for almost 3 months.""",1,"May 6, 2017",-1
Nexplanon,birth control,"""removed this bc after 5 months of use. gave it 3 stars only because i didn't get pregnant and the method is ideal for someone not interested in daily pills, etc. other than that, nexplanon increased my already mild acne to moderate, hormonal acne. not cool. also, my first period experience (november 2016) lasted 4 weeks with varying light to heavy days. after having my period twice in february 2017 i decided nexplanon had to go!""",3,"March 24, 2017",-1
Nexplanon,birth control,"""i got nexplanon implanted in august of 2015, and as of january 2016, i'm getting it removed. the positive features were that it was 100% covered by my insurance and that it was effective contraception (my partner and i do not use condoms). after implantation, my period came about five weeks later and did not stop for around three months. i read that this can happen with nexplanon, so i decided to wait it out, and the bleeding stopped completely after a little over three months later. then, after only two or three weeks, the bleeding has started again just as strongly as before. my doctor has tried a low dose of estrogen and a regular routine of ibuprofen to see if the bleeding would stop, but neither worked.""",2,"January 5, 2016",-1
Microgestin Fe 1.5 / 30,birth control,"""this by far was the worst experience on a pill. i rated it a 2 because i didn't get pregnant. i was not only bloated all of the time, but literally craved food all of the time. i gained 20 pounds in 8 months (went from my normal weight- 115 to 135 in the blink of an eye). i was out-eating my boyfriend who is twice my size. i won't even get into the moodiness. i was depressed for months. i would never recommend this pill to anyone, i don't see how it is still on the market. i switched back to my old pill from my teen years (i'm 32 now) which never gave me problems (levora) and 2 weeks in, i've already lost all of the water retention and 7 pounds. the food cravings are gone also, finding that i'm having to ""remember"" to eat.""",2,"January 27, 2016",-1
Ethinyl estradiol / etonogestrel,birth control,"""i had previously used nuvaring with little side effects, had a child and decided to use the nuvaring again... big mistake.  i had breakthrough bleeding all 3 weeks, head-ach's, anxiety , insane mood swings - felt like crying or got super angry at the drop of a hat, not sure if this is attributed to the nuvaring but i lost about 12 lbs in a month.  it also caused uti's after having sex, something that my body previously got used to and wasn't a problem.  

ultimately it is easy to use but it made me totally psycho, i felt relief within hours of removing the ring.  no one in my family has ever seen me like that, and the mood swings, anxiety, paranoia were so bad that it affected my 4yr old.""",1,"October 26, 2013",-1
Levo-Dromoran,pain,"""i have pain daily and this medication has caused more side affects than help. i now suffer from insomnia, memory loss, (short term) and leg restlessness. plus it is so very expensive and has to be mailed so i go through withdrawals every month. i hate this medication !!!""",1,"February 27, 2017",-1
Copper,birth control,"""i had the paragard inserted 3 years ago after my second child.  heavy period,  headaches,  bloating,  mood swings and weight gain about 15 pounds.  i had it removed last week. felt better almost instantly.  i wouldn't recommend.  also tried the mirena that was even worse.""",1,"June 1, 2017",-1
Tranylcypromine,depression,"""i have been taking 20mg of parnate every day for a little over a month now after finally convincing my psychiatrist to prescribe it. i really can't say how effective it has been in terms of alleviating the symptoms of my depression. diet restrictions have not really bothered me at all . no real physical side effects apart from extreme sun sensitivity. this really bothers me because i'm extremely fair skinned and burn so easily - frequent, and i mean frequent reapplications of sunscreen and sun avoidance are a must for me. parnate has also decreased the effectiveness of benzodiazepines such as valium and imovane. this has been really frustrating because i also suffer from anxiety and insomnia.""",5,"September 17, 2016",0
Depo-Provera,birth control,"""i got my first shot in june 2016 thinking it would be a better alternative from the problems i was having with the pill. i ended up bleeding for a whole 3 months which defeated the purpose of getting it for birth control because i couldn't have sex anyways because of it. i got a second shot in august and the bleeding stopped but i started getting headaches and feeling dizzy frequently. my next shot is scheduled for october but i refuse to get another after reading other women's reviews and horror stories. the side effects are insane and not worth the risk. i would never recommend the shot to anyone.""",1,"August 21, 2016",-1
Clonidine,anxiety,"""this medicine made me beyond irate! it's supposed to help with anxiety and insomnia due to anxiety. i've been up for 5 days now with an average of maybe 2 hours of sleep if that a night. complete opposite effect and i'm so tired. but my brain won't stop running with thoughts. weird thoughts. on the bright side my house is spotless and i've managed to fill my freezer and counter with countless baked foods and pastries. smh.""",1,"December 13, 2016",-1
Etonogestrel,birth control,"""i got the implant in march 2014 , it didn't take long to insert but it ached for 5 weeks. for the first 7 months my bleeding was light but now i rarely get a day of no bleeding. i have had side effects since insertion. i've had nausea, painful cramps, tender breast,  weight gain and fatigue. it hasn't been all peachy but i'm not pregnant. i plan to get it removed it's more trouble than helpful for me.""",3,"June 3, 2015",-1
Brexpiprazole,depression,"""rexulti was amazing for me at first for my panic and anxiety.  it started working within 4 days and i took practically no xanax while on it.  i was on it 9 months or so.  then my psychiatrist did blood work on me and it was terrible.  things showed up that had never been on a blood report for me before.  i was diabetic, had high cholesterol, had high triglycerides, and my prolactin level was doubled.  i was on the lowest dose so she told me i had to go cold turkey and gave me benzos other than xanax to lessen the symptoms.  coming off rexulti has been the worst experience ever.  i have had hallucinations, nightmares all night that result in me waking to a panic attack, panic attacks during the day i couldn't get under control with benzos, dizziness, nausea.""",5,"July 25, 2016",0
Skyla,birth control,"""i got skyla inserted 7 months ago. the insertion was painful and it gave me horrible cramps. my periods got super heavy and i get sharp cramps now. i also have been having my period twice a month! it's very heavy. it lasts about 11 days now, then stops for 5, then will last for 9-11 days. i wanted my period to stop not to increase. it said that after 3-6 months my period could stop but i'm on my period right now and it's very heavy. the only upside is that i haven't gotten pregnant.""",3,"November 12, 2016",-1
Adapalene / benzoyl peroxide,acne,"""i hated it! did not help my skin whatsoever and i had to get off it within a week due to bad side effects. epiduo made my skin burn extremely badly whenever i put it on my face, it made my eyes water and almost had me in tears. as well as that, it made my skin super sensitive, it now stings to put moisturiser, foundation or anything on my skin! my skin went super red & flakey. would definitely not recommend as i'm still experiencing the redness, sensitivity and extreme dryness after being off epiduo for 4 days.""",2,"November 5, 2016",-1
Trintellix,depression,"""male, mid 30s, depression for ~10 yrs. was on cymbalta 60 mg qd for 2yrs, wasn't working, depressed, so up'ed to 90 mg qd. didn't work, had typical side effects. cross tapered to brintellix over 3wk period achieving 10 mg qd dose. felt good for 2wks - more energy, sharper mentally, but very angry and irritable. then all ""good"" effects ceased; all i felt was continual anger and irritation, which worsened every day for 3wks. put on 12lbs/1mo while being on brintellix. stopped 10 mg dose cold turkey for 1wk, just started on fetzima. can't tell if brintellix withdrawal or fetzima, but now having sexual aes, namely near spontaneous ejaculation without being erect or stimulated - any other men have this with either drug?""",3,"February 22, 2016",-1
Nexplanon,birth control,"""i got my nexplanon inserted november 2015 while i was on my period on the 5th day, ever since then(4months later)i've bled constantly ever since. my doctor tried giving me the pill to balance out my hormones but no luck at all. i constantly have cramps and headaches and sometimes heat flashes. i want it out so bad but removal costs $150 :(""",1,"March 21, 2016",-1
Ethinyl estradiol / levonorgestrel,birth control,"""i will never take this again. i just started taking it and everything was fine and i loved it. i got to about halfway through my second month and all hell broke loose. i had the worst period i had ever had. i never had cramps or heavy needing until this pill. i continuously had blood clots and wouldn't stop bleeding for over a month. i kept taking it until my 3rd month and after that it still continued. no stopping. so i stopped taking it and then had an even worse period and had to go to the doctor due to bleeding a way abnormal amount. never again.""",1,"November 30, 2017",-1
Lidoderm,pain,"""i tried using the over the counter 4% lidocaine and had some relief. i talked to a pharmacist who said that the mylan should give about 25% more relief. i tried it-purchased 30-5% pads that cost about $.30 more than the over the counter per patch. the mylan are inflexible and i have to tape them on. i will not buy more. i may talk to my doctor about just using the over the counter and adding a little more lidocaine cream. my recommendation is that customers should not waste their money on these. i also read that the mylan company is registered in the netherlands with its main office in the u.s. so, this is a company that can well afford to create an effective product since they obviously do not pay much in u.s. taxes-shame""",2,"December 24, 2016",-1
Duloxetine,anxiety,"""i was prescribed this for mild anxiety after i was in a car accident and the headaches i got as a result. i took one 20 mg at night and woke up four hours later with the most horrible panic attack (that's what the doctor said). i've never had that happen in my life. my heart was racing and pounding, i would get hot then cold and back again, i was shaking so bad i could hardly type. i wanted to cry but couldn't, scream or something. i felt like all of a sudden i had a different personality. my heart raced for 4 days after that. i never took another after that first one. i've been having heart pounding sensations for days in the last three weeks since taking the cymbalta. """,1,"November 12, 2009",-1
Mirena,birth control,"""don't get the mirena iud. i wanted to love the mirena, i really did. i'm 23, no kids & wanted a low maintaince birth control. insertion & initial cramping were pretty bad but thats normal. i liked my iud for the first year or so. didn't gain weight like i did on the pill & no real side effects. but my love for the iud turned to hatred when i discovered it had given me an ovarian cyst. i started having an excruciating pain deep in my abdomen. the pain was right next to my hip bone and was unlike any pain i've ever had. it would radiate down my leg & up my back. some days i couldn't even stand up or go to work. finally got an ultrasound and discovered it was a cyst so now its out and i feel so much better. please don't get the mirena!!""",2,"August 31, 2017",-1
Nexplanon,birth control,"""my bc was placed about 2 years ago. over all effective did not become pregnant but from the start i had horrible side effect with headaches, my hair falling out & no periods (so thought was a good thing). then went on to having oily hair & skin, gaining weight, & heavy two week periods every two to three weeks. now i have cysts on my ovaries monitored every six weeks. next week it'll be removed :d""",2,"December 29, 2015",-1
Etonogestrel,birth control,"""my experience has been horrible. i got nexplanon 6 weeks after giving birth. i had gotten pregnant while i was on the pill so i wanted to try something different. i've been bleeding for three and a half months straight. severe acne and mood swings. i've been feeling really depressed for no reason. i've gained 15 pounds i can't seem to lose. and this last month i have been having horrible flu like symptoms. it feels like it's taking over my life. i'm getting it out this month.""",1,"April 8, 2015",-1
Viibryd,depression,"""don't try to quit the 40 mg cold turkey. you will feel no control of your mind or your body. your arms and legs will twitch and jerk. you will feel scared and nervous because you are losing control of your mind and physical body. i know you are mad at what the medication has done to you but you must get up and go take the 40mg and break in half. i just did. you will itch all over, begin to cry, feel exhaustion, embarrassment, your tongue will be raw up the center. my aunt is a doc. she couldn't believe i tried to do cold turkey. after 30 min i'm already better. it's sad but don't go cold turkey and put your body through that. if you go cold turkey, you could give yourself long term effects.""",2,"April 28, 2012",-1
Remeron,depression,"""doctor prescribed me remeron, i've been taking 15mg for about a month now. i've noticed an increase in hunger and i get great sleep with this medication. however it hasn't helped with my anxiety attacks or depression. i also noticed that i'm becoming more and more forgetful, often find myself staring at nothing in a daze, and hard to articulate what i'm thinking or feeling.""",5,"April 10, 2015",0
Tapentadol,pain,"""i took 150 mg x 2 daily of nucynta for full body stabbing pain and it didn't even help one bit for the pain. i do not recommend this drug to anyone, it is a waste of time , money and it doesn't work for moderate to severe pain. there was a survey on facebook the other day in a support group and nucynta helped only 1 in 10 people for there pain. the only positive side it had no side effects for me but i rather had it made me sleepy and help my pain then waste my time and money. disgrace of a pill""",1,"June 24, 2016",-1
Ethinyl estradiol / norethindrone,birth control,"""by far, the worst birth control that i have ever taken. i made the mistake of switching from the ring to this pill and it was practically ruining my life. my sex drive was gone, i had major stomach cramps along with constipation, my mood was terrible and i was always angry or sad, i gained a lot of weight due to the fact that my appetite increased majorly, my periods were abnormal and my skin was the worst it has ever been. overall, not the right birth control for my body and i stopped in the middle of my pack and i feel 100% better than i was. the only thing it did do good, for me, is i didn't 't get pregnant. going back to the ring after this nightmare.""",2,"April 20, 2016",-1
Etonogestrel,birth control,"""i hate this birth control! i'm lucky enough to not have irregular bleeding or become pregnant but i've gained 20 pounds, have mood swings, get headaches, no sex drive, and don't feel like myself!!! i'm getting it out soon and i've only had it since the beginning of february.""",2,"May 11, 2016",-1
Ethinyl estradiol / norelgestromin,birth control,"""i've been trying this patch for about 3 weeks now and the cramps are unbearable i feel like i need to take midol everyday it's so bad feels like period cramps, i feel so nauseous that i want to throw up and my boobs are terribly sore not to mention it has caused me to have a horrible yeast infection that i've treated twice in 2 weeks and it just won't subside! i'm hoping after i get through this month of the patch that my body becomes immune to it otherwise this patch is the devil and i hate it i wouldn't recommend it.""",1,"June 5, 2016",-1
Yaz,birth control,"""i've been on it for 6 months. i've become moody, depressed and i would cry over anything. my boyfriend hates it, and so do i. i'm tired, irritable, and want to be in my solitude a lot. it has put a strain on my life and my relationship. i am switching to a new birth control soon.""",2,"March 18, 2009",-1
Kyleena,birth control,"""i got the kyleena iud inserted about 3 months ago and not only was it the worst pain i've ever gone through, i've had so many issues and side effects. ever since i got it inserted, there has been an annoying throbbing pain in my uterus and despite checkups and pap smears, theres nothing wrong with it. i also had a very early miscarriage on this birth control which was extremely hard on myself and my boyfriend. also i have the worst break outs of my entire life on my jaws, neck, and hips. gained 15 pounds as well. would never recommend this birth control to anyone ever. long story short, i have an appointment next week to get this demon contraption out of me and i am exploring a different type of contraceptive.""",3,"November 14, 2017",-1
Sertraline,depression,"""i was diagnosed with depression about 6 months ago and started with a very low dose of prozac. about 3 months later i was institutionalized and switched to zoloft. most of the people there for depression were on it and it worked for them. however, it does not work for me at all. i've been on 100 mg for about 2 months and i feel jittery when i sit for too long or when i'm trying to sleep, i get really grouchy and rude (which is unusual for me) , and things that only bothered me before make me really depressed.""",3,"January 29, 2016",-1
Nexplanon,birth control,"""the worst birth control option available. i had nexplanon in my arm for six month, and those six months were a nightmare. i suffered terrible anxiety. i also started having problems with lactose temporarily and questioned if i was lactose intolerant. i would randomly cry when i was alone. it sparked adult acne. i had trouble breathing sometimes. honestly, it was just a horrible, confusing experience. sure, it is effective in the sense that it prevents pregnancy, but there are better options than nexplanon.""",1,"March 22, 2017",-1
Drospirenone / ethinyl estradiol,birth control,"""awful pill! i started taking this pill three months ago as my previous pill was making me hypersensitive to the sun (gedarel). i think i'd rather live like a vampire than try and cope with the mood swings from this pill. my poor fiancé has even mentioned how bad my mood swings have been and it makes me feel awful being so up and down all the time. i am going to change it this week and hopefully be more successful with the next one. 
i am a very happy go lucky person and this pill is the worst i have ever been on. i have been on micro 30, dianette and gedarel in the past 7 years and is one is by far the worst. 
my sister is on this one too and she is fine so just goes to show how individual it can be to react to certain pills.""",1,"July 22, 2017",-1
Isotretinoin,acne,"""i have been on the drug about 7 weeks and have had no real change in my acne just real dry chapped lips and dry skin but spots are still here, how long til it changes and they start to go away?""",1,"December 15, 2015",-1
Sprintec,birth control,"""just started so what i'm experiencing may change after some time (i hope) but i began bleeding the next day of taking sprintec and i'm still bleeding now. ok fine maybe because it's new but i'm also nauseous everyday right after i eat or drink anything (it's helping me loose weight because i can't keep much down) also now i have acne like i've never had acne. i'm easily depressed then i'm super happy like it's confusing. this is not kool but like i said it is still new for me so i'm going to give it time. my gyn days after 3 months it should be better""",3,"March 13, 2016",-1
Errin,birth control,"""in 42 years old. omg this pill makes me feell like i'm on my cycle everyday. i'm assuming it's the pill. i've been on it for over two years now. it's been causing problems with my husband because sex is just not in the books for me. i'm moody, cramps all the time, headaches....it's makes me sick. i just want my tubes tide.""",3,"November 14, 2017",-1
Tramadol,pain,"""this medicine made me itch all over, dizzy, nauseous and break out in cold sweats.  my doctor gave it to me because it was non-narcotic but i've never had these side effects with vicodin.""",2,"August 31, 2009",-1
Junel Fe 1 / 20,birth control,"""i’ve been on this for a little over a month. i thought i was going crazy until i realized it was the bc. it made me extremely depressed and irritable. i’m already on lexapro for depression and was doing fine. i have not wanted to do anything but sleep and eat. i'm not one to be lazy and i haven’t been able to make myself do anything. i cannot curb my appetite, therefore i’ve gained prob 10 lbs in a month.  i definitely do not recommend this for anyone that may be susceptible to depression. it took away my sex drive as well. yes, i didn’t have a period which was nice but totally not worth the weight and craziness.""",1,"October 26, 2017",-1
Tretinoin,acne,"""i have been using atralin for about a month and a half now. i started out with very moderate acne, a few pimples but nothing substantial. i have been struggling with acne for five years and i just wanted something to totally zap my acne. well atralin is not that. i have very sensitive skin and i am still peeling after all this time. when i started using it it made me breakout and now my acne and red spots are worse.""",1,"March 6, 2010",-1
ParaGard,birth control,"""i have had the paragard for 2 weeks and have had a headache everyday since the 3rd day. i have been exhausted and weak. one night i had 1 cocktail and felt like i was dying and could hardly walk without feeling like i would faint. my brain is foggy, i can't concentrate and feel like i am in a bad dream every day.""",2,"November 21, 2017",-1
